smiles,log_solubility,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
CC(C)=CCCC(C)=CC=O,0.3904,152.24,2.88,17.07,0,1,4,0
C=CCCC,0.0904,70.13,1.97,0.0,0,0,2,0
CCCCCCCCCCCCCC,-2.4643,198.39,5.71,0.0,0,0,11,0
CC(C)Cl,0.7049,78.54,1.63,0.0,0,0,0,0
CCC(C)CO,1.1597,88.15,1.02,20.23,1,1,2,0
CCCCCCCCCC(C)O,-0.0354,172.31,3.51,20.23,1,1,8,0
CCOP(=S)(OCC)SCSCC,-0.6015,260.39,3.73,18.46,0,5,8,0
CCCCCCCO,0.5114,116.2,1.95,20.23,1,1,5,0
CCCCCCCC(=O)OC,-0.1467,158.24,2.52,26.3,0,2,6,0
CCOP(=S)(OCC)SCSC(C)(C)C,-0.9136,288.44,4.51,18.46,0,5,7,0
C=C(Cl)Cl,0.5936,96.94,1.94,0.0,0,0,0,0
CCCCC=O,0.9759,86.13,1.38,17.07,0,1,3,0
CCCCCCCI,-0.9402,226.1,3.39,0.0,0,0,5,0
C=CCCCO,1.3146,86.13,0.94,20.23,1,1,3,0
CC(C)OC=O,1.0823,88.11,0.57,26.3,0,2,2,0
CCCCCC(C)O,0.6372,116.2,1.95,20.23,1,1,4,0
C#CCCCCCC,-0.3838,110.2,2.59,0.0,0,0,4,0
CC(C)CCC(C)(C)C,-1.0563,128.26,3.47,0.0,0,0,2,0
CCCC(C)=O,1.2952,86.13,1.38,17.07,0,1,2,0
CCCOC(=O)CC,0.9904,116.16,1.35,26.3,0,2,3,0
CCC(Br)(CC)C(=O)NC(N)=O,0.0904,237.1,1.13,72.19,2,2,3,0
CCCCC(=O)OCC,0.2985,130.19,1.74,26.3,0,2,4,0
CC(=O)OCCC(C)C,0.4582,130.19,1.6,26.3,0,2,3,0
CCCBr,0.5501,122.99,1.79,0.0,0,0,1,0
COP(=S)(OC)SCC(=O)N(C)C=O,0.4219,257.27,0.85,55.84,0,6,6,0
NC(N)=S,1.542,76.12,-0.81,52.04,2,1,0,0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.3886,236.74,3.73,0.0,0,0,0,0
CCC[N+](=O)[O-],1.0001,89.09,0.67,43.14,0,2,2,0
CCCOC(C)C,0.7388,102.18,1.82,9.23,0,1,3,0
ClCCl,1.0823,84.93,1.42,0.0,0,0,0,0
