smiles,toxic,active_assays_count,total_tested_assays,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
CC(O)(P(=O)(O)O)P(=O)(O)O,0,0,12,206.03,-0.99,135.29,5,3,2,0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0,0,11,290.44,4.82,36.92,0,4,7,0
OC[C@@H](O)[C@H](O)[C@@H](O)CO,0,0,11,152.15,-2.95,101.15,5,5,4,0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0,0,2,351.8,2.19,80.26,0,4,12,0
CC(C)COC(=O)C(C)C,0,0,12,144.21,1.84,26.3,0,2,3,0
C=C(C)C(=O)OCCOC(=O)C(=C)C,0,0,12,198.22,1.22,52.6,0,4,5,0
CCCCCCCCCCOCC(O)CN,0,0,5,231.38,2.46,55.48,2,3,12,0
C#CCO,0,0,12,56.06,-0.39,20.23,1,1,0,0
CC(O)CC(C)(C)O,0,0,12,118.18,0.53,40.46,2,2,2,0
CC(C)(C)CC(C)(C)N,0,0,12,129.25,2.16,26.02,1,1,1,0
CC(=O)CC(C)C,0,0,12,100.16,1.62,17.07,0,1,2,0
CCCC(C)=O,0,0,12,86.13,1.38,17.07,0,1,2,0
CCCCNC(=S)NCCCC,1,1,12,188.34,2.05,24.06,2,1,6,0
CCCCNC(=O)NCCCC,0,0,12,172.27,1.89,41.13,2,1,6,0
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,1,1,11,356.55,4.92,66.76,2,4,18,0
CC/C=C\CCCCO,0,0,12,128.22,2.12,20.23,1,1,5,0
CC(=O)CCC(C)=O,0,0,12,114.14,0.94,34.14,0,2,3,0
N#CCCNCCC#N,0,0,12,123.16,0.4,59.61,1,3,4,0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0,0,12,164.09,-0.86,132.4,0,6,0,0
CCCCCCCCCCCC(=O)NCCCN(C)C,0,0,3,284.49,3.98,32.34,1,2,14,0
CC(C)CCCCCOC(=O)CCS,0,0,12,218.36,3.07,26.3,1,3,8,0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1,1,12,398.57,1.97,78.9,3,9,13,0
F[B-](F)(F)F.[H+],0,0,11,87.81,1.41,0.0,0,0,0,0
CCCCCC(C)O,0,0,12,116.2,1.95,20.23,1,1,4,0
[I-].[K+],0,0,12,166.0,-5.99,0.0,0,0,0,0
C/C=C/C=C/C=O,1,1,12,96.13,1.32,17.07,0,1,2,0
C[Si](C)(C)N[Si](C)(C)C,1,1,12,161.4,2.25,12.03,1,1,2,0
C=CC(=O)OCCCl,0,0,11,134.56,0.95,26.3,0,2,3,0
O=C(O)/C=C(\CC(=O)O)C(=O)O,0,0,11,174.11,-0.44,111.9,3,3,4,0
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0,0,2,180.16,-3.38,118.22,5,6,5,0
CCCCC(=O)[O-],0,0,10,101.12,-0.07,40.13,0,2,3,0
CCCCCCCCCCCCCC(=O)OC,0,0,12,242.4,4.86,26.3,0,2,12,0
CCCCCCC(C)O,0,0,12,130.23,2.34,20.23,1,1,5,0
CCC[Si](OC)(OC)OC,0,0,12,164.28,1.27,27.69,0,3,5,0
